UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,mean_meanOutageDuration_wi_BF,std_meanOutageDuration_wi_BF,median_meanOutageDuration_wi_BF,mean_outageProbability_wi_BF,std_outageProbability_wi_BF,median_outageProbability_wi_BF
9,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.176152742056784,0.212809797003612,0.07,0.0168912301001232,0.0319034103855688,0.0037233806996,0.0292814443619373,0.0337955451148194,0.00237904191820825,0.000116667255357487,5.99387341997158e-10,0.00011666714166695,0.0292814443619373,0.0337955451148194,0.00237904191820825,0.000116667255357487,5.99387341997158e-10,0.00011666714166695
9,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.182273949010856,0.218959881636789,0.07,0.0151692675086486,0.0257660370134679,0.0038050688510272,0.0303182534418669,0.0340708485758649,0.002112622310816,0.000116667208333649,5.33878475315182e-10,0.0001166672083336,0.0303182534418669,0.0340708485758649,0.002112622310816,0.000116667208333649,5.33878475315182e-10,0.0001166672083336
10,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.31111427438345,0.25122007616601,0.0853071681018849,0.036150251547551,0.0448112553629341,0.00843853556562865,0.0271630736284926,0.0333667529897505,0.00209002752674385,0.000116667375868472,7.33448838914963e-10,0.00011666720833365,0.0271630736284926,0.0333667529897505,0.00209002752674385,0.000116667375868472,7.33448838914963e-10,0.00011666720833365
10,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.17057287275824,0.203905131867213,0.07,0.0143326598659303,0.0268334574810273,0.003283333966667,0.0308001024660765,0.0336394476705494,0.0029166762500046,0.000116667178388578,5.48812111468395e-10,0.0001166670500002,0.0308001024660765,0.0336394476705494,0.0029166762500046,0.000116667178388578,5.48812111468395e-10,0.0001166670500002
10,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.186398773474934,0.209509960382902,0.07,0.0163049178697982,0.027431187018705,0.0036009289732449,0.0283739006975745,0.033117176481312,0.002460615709096,0.000116667212698727,5.51483744366684e-10,0.00011666713333355,0.0283739006975745,0.033117176481312,0.002460615709096,0.000116667212698727,5.51483744366684e-10,0.00011666713333355
10,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.161991302378901,0.203754268317301,0.07,0.014927644917557,0.026895398049872,0.0044500008666671,0.0266458593437911,0.0323471151111784,0.00175110418387055,0.000116667266228413,5.60694149195512e-10,0.00011666731666705,0.0266458593437911,0.0323471151111784,0.00175110418387055,0.000116667266228413,5.60694149195512e-10,0.00011666731666705
11,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.293221835817925,0.256998932952875,0.0805826476927046,0.0318482250754651,0.0407653971752947,0.00539610356150075,0.031717540568568,0.0341172065042649,0.00291667625000505,0.000116667292882306,6.75774741783859e-10,0.0001166670500002,0.031717540568568,0.0341172065042649,0.00291667625000505,0.000116667292882306,6.75774741783859e-10,0.0001166670500002
11,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.250273838821608,0.258047394898439,0.07,0.0250916965104605,0.0362243889288015,0.0059000011333335,0.0292873099954041,0.0334995216968514,0.0021212218181882,0.000116667300000373,6.33757512335856e-10,0.0001166672000004,0.0292873099954041,0.0334995216968514,0.0021212218181882,0.000116667300000373,6.33757512335856e-10,0.0001166672000004
11,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.195590647343017,0.222917440335671,0.07,0.018620498482263,0.0310610889745563,0.0027854469426272,0.0296958295570319,0.0335487817080735,0.00280000960000645,0.000116667215278101,5.85656666414877e-10,0.0001166670666669,0.0296958295570319,0.0335487817080735,0.00280000960000645,0.000116667215278101,5.85656666414877e-10,0.0001166670666669
11,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.122601847851502,0.168880675482175,0.07,0.0096769031878989,0.0216421153101085,0.0022595437205686,0.0321620043117777,0.0337987390271665,0.00269630591111585,0.000116667155482749,5.22461613268933e-10,0.00011666708333355,0.0321620043117777,0.0337987390271665,0.00269630591111585,0.000116667155482749,5.22461613268933e-10,0.00011666708333355
