UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,mean_mean_rate_after_handoff_affected_wo_algo,mean_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,mean_mean_rate_after_handoff_not_affected_wo_algo,mean_rate_after_handoff_fr2,mean_rate_after_handoff_fr2_wo_algo
31,25,750,300,400000000,10,0.1,20,98714981.5328444,35712608.1806895,98192460.9448005,98683768.5644143,98222100.0713887,98179611.7425428,654999544.51949,737606749.278361
31,25,1000,300,400000000,10,0.1,40,97891774.6686953,36160154.5656596,96846201.0580889,97903266.4178232,97649050.2785448,96924912.1836732,545282748.27854,521306898.907553
32,25,750,300,400000000,10,0.1,10,98733111.2558994,35667288.0746961,98193637.1374934,98676655.7705774,98126967.0375464,98141828.2391231,558536206.684427,586464979.291731
32,25,1000,300,400000000,10,0.1,40,97891774.6686953,36160154.5656596,96846201.0580889,97903266.4178232,97649050.2785448,96924912.1836732,555899941.497705,555407650.917665
33,25,750,300,400000000,10,0.1,10,98733111.2558994,35667288.0746961,98193637.1374934,98676655.7705774,98126967.0375464,98141828.2391231,517299223.86645,558825602.543646
33,25,1000,300,400000000,10,0.1,30,97889874.3027693,36153808.3047909,96777101.4174037,97870879.1516884,97516779.4766527,96807042.4107456,608541878.268397,639434964.829904
34,25,750,300,400000000,10,0.1,10,98733111.2558994,35667288.0746961,98193637.1374934,98676655.7705774,98126967.0375464,98141828.2391231,581567999.200394,633972747.953966
34,25,1000,300,400000000,10,0.1,30,97889874.3027693,36153808.3047909,96777101.4174037,97870879.1516884,97516779.4766527,96807042.4107456,588609211.415506,609462594.231162
35,25,1000,300,400000000,10,0.1,30,97889874.3027693,36153808.3047909,96777101.4174037,97870879.1516884,97516779.4766527,96807042.4107456,562075465.693989,562125368.600694
36,25,1000,300,400000000,10,0.1,30,97889874.3027693,36153808.3047909,96777101.4174037,97870879.1516884,97516779.4766527,96807042.4107456,541931876.930756,537936823.263496
37,25,1000,300,400000000,10,0.1,20,97861196.7063303,36188393.4398781,96646211.7557518,97842866.5821018,97412813.4389329,96702833.8340409,555598033.816694,562850782.143322
38,25,1000,300,400000000,10,0.1,20,97861196.7063303,36188393.4398781,96646211.7557518,97842866.5821018,97412813.4389329,96702833.8340409,526733741.570471,513328202.899877
39,25,1000,300,400000000,10,0.1,20,97861196.7063303,36188393.4398781,96646211.7557518,97842866.5821018,97412813.4389329,96702833.8340409,580046531.553594,592079423.420327
40,25,1000,300,400000000,10,0.1,20,97861196.7063303,36188393.4398781,96646211.7557518,97842866.5821018,97412813.4389329,96702833.8340409,550152706.594102,556439593.485852
41,25,1000,300,400000000,10,0.1,20,97861196.7063303,36188393.4398781,96646211.7557518,97842866.5821018,97412813.4389329,96702833.8340409,530635749.002904,543554237.280547
42,25,1000,300,400000000,10,0.1,10,97841179.6674279,36221545.7252216,96532690.7252769,97885617.8628427,97400094.9682861,96719648.5083095,584977532.434684,617849923.418488
43,25,1000,300,400000000,10,0.1,10,97841179.6674279,36221545.7252216,96532690.7252769,97885617.8628427,97400094.9682861,96719648.5083095,570631672.747805,625956589.184791
44,25,1000,300,400000000,10,0.1,10,97841179.6674279,36221545.7252216,96532690.7252769,97885617.8628427,97400094.9682861,96719648.5083095,514539710.813173,498732317.428046
45,25,1000,300,400000000,10,0.1,10,97841179.6674279,36221545.7252216,96532690.7252769,97885617.8628427,97400094.9682861,96719648.5083095,612010224.219203,657490664.817041
